Account Category,Account Name,Year,Amount
Other,Diluted,2025,7465000000.0
Revenue,Revenue,2024,245122000000.0
Revenue,Product,2024,64773000000.0
Revenue,Service and Other,2024,180349000000.0
Revenue,Productivity and Business Processes,2024,106820000000.0
Revenue,Intelligent Cloud,2024,87464000000.0
Revenue,More Personal Computing,2024,50838000000.0
Revenue,United States,2024,124704000000.0
Revenue,Other Countries,2024,120418000000.0
Revenue,Server Products and Cloud Services,2024,79828000000.0
Revenue,Microsoft 365 Commercial Products and Cloud Services,2024,76969000000.0
Revenue,XBOX,2024,21503000000.0
Revenue,LinkedIn,2024,16372000000.0
Revenue,Windows and Devices,2024,17026000000.0
Revenue,Search advertising,2024,12306000000.0
Revenue,Microsoft 365 Consumer products and cloud services,2024,6648000000.0
Revenue,Dynamics products and cloud services,2024,6831000000.0
Revenue,Enterprise and partner services,2024,7594000000.0
Revenue,Other,2024,45000000.0
Revenue,Microsoft Cloud,2024,137700000000.0
COGS,Cost of revenue,2024,-74114000000.0
COGS,Product,2024,-15272000000.0
COGS,Service and Other,2024,-58842000000.0
COGS,Productivity and Business Processes,2024,-19611000000.0
COGS,Intelligent Cloud,2024,-29611000000.0
COGS,More Personal Computing,2024,-24892000000.0
Gross Profit,Gross margin,2024,171008000000.0
Expenses,Research and development,2024,-29510000000.0
Expenses,Sales and marketing,2024,-24456000000.0
Expenses,General and administrative,2024,-7609000000.0
Operating Income,Operating income,2024,109433000000.0
Operating Income,Productivity and Business Processes,2024,59661000000.0
Operating Income,Intelligent Cloud,2024,37813000000.0
Operating Income,More Personal Computing,2024,11959000000.0
Expenses,"Other income (expense), net",2024,-1646000000.0
Expenses,"OpenAI Global, LLC",2024,-1500000000.0
Taxes,Income before income taxes,2024,-107787000000.0
Expenses,Provision for income taxes,2024,-19651000000.0
Net Income,Net income,2024,88136000000.0
Net Income,Retained earnings,2024,88136000000.0
Other,Basic,2024,11.86
Other,Diluted,2024,11.8
Other,Basic,2024,7431000000.0
Other,Diluted,2024,7469000000.0
